id, author, title, view, fav, score
23,ndemina,Внутренняя кухня: рецепт эффективной работы с удаленным сотрудником. Часть 2,3087,37,3
24,30PP0,Интеграция дизайна мобильных приложений. Часть 2: iOS comma  Windows Phone,18722,263,20
25,30PP0,Дизайнерский обзор Android 4.4 KitKat. Часть 2,54000,60,49
26,AlexeyR,Логика мышления. Часть 2. Факторы,24513, 286,22
27,CleverMouse,Поддержка USB в KolibriOS: что внутри? Часть 2: основы работы с хост-контроллерами,7955,66,75
28,ZZToP,Автопровижининг Cisco SPA504g и Asterisk. Часть 2. Настройка DHCP-сервера и Apache,2714,33,6
29,svistkovr,Работа с usb видеокамерой в Linux. Часть 2,7005,152,22
30,loginovskaya,Тестируем сайт на игровых консолях. Часть II,3972,13,4
31,basp,Язык программирования J. Взгляд любителя. Часть 2. Тацитное программирование,9294,58,25
32,Centrobit,Тренды e-commerce: Что важнее всего для интернет-магазина? Часть 2,8391,79,12
33,NetWrixRU,Безопасное управление Active Directory. Часть 2,3578,44,1
34,RoSi,Промо-сайт для мобильного приложения. Часть 2,4508,59,6
35,peterglushkov,Задача изменения голоса. Часть 2. Физический/акустический подход к представлению речевого сигнала,7645,119,27
36,arruin,Технологии в ролевых играх. Часть 2. Технология и техноген,16211,85,31
37,Unlimion,Примитивный игровой дизайн. Пошаговая разработка карточной игры. Часть 2: От скелета к мышцам,8293,42,5
38,timshick,Автоматизация складских процессов интернет-магазина: опыт Аудиомании — Часть 2,15779,182,32
39,090h,Бумажные специалисты. Часть 2. Интеграторы,10332,32,22
40,worm2fed,Моё знакомство с WM Awesome. Часть 2, 3026,15,-3
41,infobox,Новый лидер Java EE? WildFly 8 в InfoboxCloud IaaS. Часть 2. Режим домена,3441,29,10
42,pokupo,Куда идет рынок электронных платежных систем в России? Часть 2. Пластиковые карты,26949,96,16
43,jaybekster,Система наблюдения в автомобиле за ним же на Raspberry Pi. Часть 2,18205,174,26
44,MistiC,Chef за 21 день. Часть вторая. Создание и использование cookbook,5563,111,17
45,Lovesuper,Советы Google по кодированию на языке Python. Часть вторая: советы по форматированию исходного кода,33190,742,53
46,kangax,Знакомимся с Fabric.js. Часть 2-я,8149,149,25
47,Dhab,Запуск LendWings. Часть 2. Российские земли,4098,7,4
48,32bit_me,Мобильный телефон своими руками. Часть 2,37723,195,73
49,Charoplet,Основы создания 2D персонажа в Unity 3D 4.3. Часть 2: бегущий персонаж,21723,253,22
50,morozovsk,Делаем вебсокеты на PHP с нуля. Часть 2. IPC,9189,304,19
51,BlackRaven86,Model-View в QML. Часть первая: Представления на основе готовых компонентов,8096,72,15
52,Qualab,Объединяя C++ и Python. Тонкости Boost.Python. Часть вторая,8232,187,38
53,DrMetallius,Разработка под Android в NetBeans IDE без плагинов. Часть 2,4811,68,11
54,iByte,Популярно о 3D графике. Часть 2. Игры и 3D,24117,123,4
55,iByte,Compaq LTE Lite. Часть 2,7556,15,20
56,NBZ,История печати: матричные comma  струйные comma  лазерные и светодиодные технологии (Часть 2),15953,61,25
57,Falseclock,Модификация стоковых прошивок для Android. Часть 2,42724,469,62
58,vEskin,Veeam Backup & Replication: советы и рекомендации. Часть 2,5501,30,8
59,Moozund,Создаем первое приложение на NancyFX. Часть вторая. Bootstrapper,4876,43,12
60,serr,Конспекты лекций «Haskell как первый язык программирования». Часть2,6320,87,18
61,glamcoder,Облачный бекенд для мобильных приложений своими руками. Часть 2,3073,40,4
62,Klimentij,Юзабилити Facebook. Часть 2: Facebook для людей,24316,137,16
63,mgaga,Как я получил универсальную электронную карту после 3-х месяцев ожидания. Часть 2,89687,123,70
64,Aivendil,Новое в Windows Server 2012 – Часть 2: Системы хранения данных,4259,64,15
65,graninas,Дизайн и архитектура в ФП. Часть 2,6013,107,24
66,avstepanov,Радиоуправляемый выключатель своими руками. Часть 2 — Тестирование и подготовка,24145,420,27
67,avstepanov,Беспроводные коммуникации «умного дома». Часть вторая comma  практическая,46601,571,62
68,Velese,Пишем платформер на python comma  используя pygame. Часть 2 подчасть 2. Редактор уровней,10891,225,36
69,winduzoid,Кластерное хранилище в Proxmox. Часть вторая. Запуск,12022,79,9
70,Zenogears,Основы создания 2D персонажа в Godot. Часть 2: компилирование шаблонов comma  немного о GDScript comma  движение и анимация героя,8171,139,26
71,Dinisoid,Работаем с SteamWorks. Часть 2,4649,46,10
72,reznik_e,Дизайн сайта в Sketch.app. Часть 2.1: наводим красоту,8570,82,5
73,shadoof,Data Mining: Первичная обработка данных при помощи СУБД. Часть 2,12254,124,9
74,yurav,Жизнь в эпоху «тёмного» кремния. Часть 2,15124,73,38
75,CvetKomm,Трансформация угроз в информационном пространстве: от технологических к социальным. Часть III,5926,18,6
76,oscteam,«Скороговорки на Картонке». Часть 2: Продвижение в российском App Store,7446,42,5
77,Meklon,Часть 2. Сколько мегабит/с можно пропустить через зрительный нерв и какое разрешение у сетчатки? Немного теории,138554,829,253
78,timshick,Автоматизация складских процессов интернет-магазина: опыт Аудиомании — Часть 2,15779,182,32
79,Mirantis_OpenStack,Масштабируемые сети в Openstack. Часть 2: VlanManager,3392,28,4
80,shifttstas,Osiris: Децентрализованный форум (Часть 2),10155,71,21
81,ReanGD,TextTest — кроссплатформенный фреймворк на python для тестирования GUI и не только. Часть 2,6122,66,8
82,dvayanu,Масштабировать просто. Часть вторая — кэширование,10580,154,18
83,DancingOnWater,Qt Graphics View Framework — темная сторона. Часть 2,4792,32,6
84,DancingOnWater,QtDbus Часть 2. Победное сияние чистого разума,2734,22,6
85,eXodus,Телевизоры. Часть 2. Плазма или ЖК comma  шасси comma  диагональ comma  передача движения comma  цвет comma  влияние на зрение,130300,849,108
86,Pandos,Методы анонимности в сети. Часть 2. Утечки данных,134210,1177,103
87,IbhSvenssen,Лазерное шоу своими руками. Часть 2,33382,165,63
88,HotFire,Qwt и Qt Creator. Быстро и просто. Часть 2: элементы отображения и управления,7646,108,25
89,HotFire,Кандидатская диссертация. Инструкция по корчеванию научных пней.Часть 2,12627,181,24
90,durovchpoknet,Директивы в Angularjs для начинающих. Часть 2,17602,265,33
91,xlix123,Изучаем Storm Framework. Часть II,5067,55,12
92,DenisVitman,Как стать миллионером в AppStore или немного формул про продвижение и продажи. Часть 2,51611,735,88
93,Izaron,Пишем игры на C++ comma  Часть 2/3 — State-based программирование,28501,314,33
94,alexzeynikov,Мега-ЦОДы — пионеры инноваций. Часть 2,23833,71,29
95,alexzeynikov,Усиление записи. Часть 2,7049,38,8
96,BeLove,На пути к созданию безопасного веб-ресурса. Часть 2 — разработка,20405,434,27
97,InrecoLAN,Планшет для пожилых. Часть вторая,13758,24,8
98,pavelodintsov,Контейнеризация на Linux в деталях — LXC и OpenVZ Часть 2,7664,108,17
99,ED98,ActionBar на Android 2.1+ с помощью Support Library. Часть 2 — Навигация,8407,80,6
100,wartur,Настройка Nginx + LAMP сервера в домашних условиях Часть 2: Настройка backend: PHP + MySQL,25525,653,13
101,andy_p,Большой Адронный Коллайдер своими глазами. Часть 2,24382,42,69
102,Keeperovod,Построение масштабируемых приложений на TypeScript. Часть 2 — События или зачем стоит изобретать собственный велосипед,6546,78,25
103,Tiberius,Взгляд изнутри: аспирантура в EPFL. Часть 2,16509,119,28
104,Tiberius,Об органической фотовольтаике замолвите слово. Часть 2,8233,38,20
105,romixlab,Qt Meta System over Network. Часть 2 — сигналы и слоты,3832,102,20
106,CleverMouse,Поддержка USB в KolibriOS: что внутри? Часть 2: основы работы с хост-контроллерами,7955,66,75
107,alexeev_evg,Обзор Windows Workflow Foundation на примере построения системы электронного документооборота [Часть 2],12248,117,16
108,V2008n,FORTH: POP3 наноклиент. Часть 2,3323,15,14
109,NetWrixRU,Безопасное управление Active Directory. Часть 2,3578,44,1
110,positivic,Взаимодействие клиентов SIP. Часть 2,16602,142,7
111,positivic,SIP URI и URL. Часть 2 (Схема SIP URI),5528,58,5
112,KonS,CorelCAD 2014: Обзор продукта. Часть 2, 1633, 4,-10 
113,SECL,Серьезное проектирование серьезных сайтов. Часть 2. Визуализация,43210,737,41
114,SECL,Продающий дизайн интернет-магазина. Часть 2. Элементы интерфейса,36625,616,24
115,itNews,SELinux — описание и особенности работы с системой. Часть 2,13411,317,43
116,PNNgeek,Часть 2. Как подключить смартфон к авто — приступаем к практике,50847,318,30
117,ISL,Работа с таблицами в MultiCAD.NET. Часть 2. Создание и редактирование,1616,14,11
118,wilelf,20 лет юности игровой индустрии в 5 минутах видео. Часть 2,13130,51,12
119,michoello,Обработка и классификация запросов. Часть вторая: навигационные запросы,8131,80,50
120,ShurupAY,ETERNUS DX- дисковые массивы comma  что там внутри. Часть 2,2548,7,2
121,Jimilian,Нагрузочное тестирование в Skyforge comma  или Боты – санитары сервера. Часть 2,19040,69,42
122,Flammar,Java-программист в Петербурге. Обзор рынка труда с точки зрения соискателя. Часть 2/3. Подводные камни для «новичка»,20522,89,16
123,sabbakka,Есть ли жизнь в мире PostPC? Часть 2: повседневная работа в iOS,14183,12,2
124,ashby,Как создать новый продукт для рынка электроники. Часть 2,14480,266,26
125,kichik,Интеграция дизайна. Каждый пиксель имеет значение. Часть 2,6280,54,5
126,kichik,Сетка в дизайне интерфейсов для Windows Phone: строгий учитель или добрый помощник? (Часть 2),9466,170,40
127,p4p,Программирование на Android для web разработчика или быстрый старт для самых маленьких. Часть 2,22388,518,28
128,Nilard,Drupal + Omega + Bootstrap: быстрое создание полностью кастомных тем оформления без верстки (Часть 2. Bootstrap),28172,269,21
129,siegerstein,Введение в NikaFramework (NKF). Часть 2,3692,25,5
130,ilya42,Об интеллектуальной собственности с холодной головой. Часть 2,7275,35,13
131,progchip666,Простой внутрисхемный программатор LPC микроконтроллеров своими руками. Подключение. Особенности внутрисхемного программирования. Часть вторая,16181,107,22
132,grobbelaar,Переход на Percona XtraDB Cluster. Часть II. Накладные расходы на репликацию,4432,51,16
133,viklviv,Чертежи в SVG формате. Часть 2. — Черновик стандарта,5005,47,11
134,Dageron,Навыки написания шаблонов и работы в hex-редакторе 010 Editor — Часть II,4227,84,20
135,kritt,Прокрастинация. Новые задачи. Часть 2,50022,424,29
136,9zloy,Резюме программистов. Часть 2 (хорошие),90786,585,69
137,sashacmc,Умный дом comma  как я до такого докатился. Часть 2-я,107369,909,110
138,RisingStar,Windows Azure Media Services vs. Amazon Elastic Transcoder. Часть 2: Amazon Elastic Transcoder,1456,24,11
139,unix0,FreeNAS 9.1.1 — создаем сетевое хранилище. Часть 2. Установка transmission,21405,145,3
140,aledovskiy,Статистические тесты в R. Часть 2: Тесты качественных данных,5816,50,5
141,ZarkSpb,Решение задачи нахождения углов установки видеокамеры над дорогой разными методами в Wolfram Mathematica. Часть 2,1805,14,1
142,dsedov,Создание автономного робота Frank. Часть вторая,28567,188,33
143,Sterpa,Повесть о настоящем PRINTRBOT'е (Часть 2: Сборка и испытание),18467,111,38
144,master1981,BYOD в контейнере: виртуализуем Android. Часть вторая,3778,31,12
145,ivansychev,История персональных компьютеров в рекламе. Часть 2: 1980-е,21209,57,53 
146,ivansychev,История игровых приставок в рекламе. Часть 2,23843,90,33
147,boxster,История запуска приложения Hideninja VPN под Android (Часть 2): Путь до правильного UI comma  важность тестирования,6507,65,11
148,evilduck,Создание нестандартного компонента с нуля. Часть 2,14733,290,49
149,natexriver,Автоматизированное тестирование веб-приложения (MS Unit Testing Framework + Selenium WebDriver C#). Часть 2.1: Selenium API wrapper — Browser,13821,146,15
150,SyCraft,«Идеальный» кластер. Часть 2.1: Виртуальный кластер на hetzner,9698,148,10
151,datapro,Фотоотчет процесса строительства ЦОДа «DataPro Тверь». Часть II,15004,33,10
152,datapro,Фотоэкскурсия в ЦОД «DataPro Тверь» comma  Часть 2,17421,29,21
153,Renzo,Потоки comma  блокировки и условные переменные в C++11 [Часть 2],19823,224,54
154,Akson87,История об аспирантуре в США. Часть 4.2: А что дальше? (продолжение и спецверсия для айтишников),11160,95,12
155,Akson87,Пример использования WxPython для создания нодового интерфейса. Часть 2: Обработка событий мыши,3574,60,15
156,VBKesha,Знакомство с UnrealEngine. Часть 2,11096,89,6
157,Romer,Как я СКАДу писал, 3087,89,34
158,EvseyFaydo,Как создавать и зарабатывать на SaaS (Часть 2 / бесценный опыт российских ISV),9545,104,8
159,RisingStar,Сервисы SQL Reporting в облаках. Часть 2: Настройка,1197,6,10
160,RisingStar,Горизонтальное масштабирование базы данных реального проекта с помощью SQL Azure Federations. Часть 2: Исходные данные,5411,81,12
161,UA3MQJ,Использование DSP звуковой платы SB Live! на пользу радиолюбителей (KX Driver's) — Часть [2/2],6658,39,24
162,alexejs,Работа с SQL Server в сценариях гибридного Облака. Часть 2,1006,13,4
163,neisbut,Создание patch’ей на Wix при помощи PatchWiz. Часть 2,1360,18,5
164,BarsMonster,Часть 2: Как «открыть» микросхему и что у неё внутри? Z80 comma  Мультиклет comma  MSP430 comma  PIC и другие,54239,171,145
165,DOCT0R,Тайны кнопок в Android. Часть 2: Рефакторинг верстки,15627,256,25
166,antonby,Простейшая реализация кроссплатформенного мультиплеера на примере эволюции одной .NET игры. Часть вторая comma  более техническая,7774,68,10
167,PolinaKoroleva,Правило резервного копирования «3-2-1». Часть 2,10588,55,6
168,Nylithius,Клавиатура Ant-keyboard. Часть 2 — редизайн и переосмысление концепций,37632,146,98
169,SpiritVL,Способы передвижения компьютерных персонажей (часть 2),21797,355,23
170,flyant,Обзор GALAXY Camera (Часть II),12542,10,4
171,velvetcat,Почему изучать TDD трудно и что с этим делать. Часть 2, 12922,170,16
172,payalneg,Система автоматического подсчета кругов и времени для RC-автомоделей. Часть 2 Протоколы AMB20 и AMBRc,6949,29,12
173,gvsmirnov,А как же всё-таки работает многопоточность? Часть II: memory ordering,36226,510,84
174,Alaren_Smith,Что несет нам музыкальное пиратство. Часть 2 comma  положительная,16089,21,17
175,primepix,API доступа к КЛАДР. Часть 2,11844,218,39
176,ganqqwerty,Базы знаний. Часть 2, 18302,298,61 
177,wickedweasel,Централизованная обработка исключений в Node.JS. Часть 2,3786,75,12
178,DenisGaravsky,«Умные» формы eXpressApp Framework (XAF). Часть 2 — Метамодель UI приложения,5710,36,17
179,Badoo,Архитектура высоконагруженных приложений. Масштабирование распределенных систем. Часть вторая,28011,381,60
180,analista,Как стать настоящим аналитиком? Часть 2. Выявляем требования,24437,269,15
